feature,importance
Attribute5,0.09249542149183965
Attribute2,0.07769460593682616
Attribute13,0.07161979169988121
Attribute1_A14,0.06783884508507025
Attribute8,0.034878611123961394
Attribute11,0.03464402927935573
Attribute1_A11,0.028052111313955935
Attribute3_A34,0.027831699022686025
Attribute1_A12,0.02128844408585628
Attribute6_A61,0.01984636834884395
Attribute16,0.017356111886034892
Attribute14_A143,0.017194368041106908
Attribute7_A72,0.016784320972307958
Attribute9_A93,0.01607996502158841
Attribute12_A123,0.014745836354891684
Attribute9_A92,0.014625784413544878
Attribute6_A65,0.01457205467626552
Attribute7_A73,0.014511439784100499
Attribute4_A43,0.014473888653486169
Attribute17_A173,0.014423289141333536
Attribute12_A121,0.014321968431817758
Attribute15_A152,0.013837613358643464
Attribute4_A42,0.013617462226933759
Attribute4_A41,0.013590658937493156
Attribute14_A141,0.013447860361338358
Attribute4_A40,0.013421599649499604
Attribute12_A124,0.013307986283876201
Attribute7_A75,0.013293240723011038
Attribute19_A192,0.013150470967077674
Attribute7_A74,0.01314719557510555
Attribute12_A122,0.013118545890058654
Attribute18,0.012482902274062513
Attribute3_A32,0.012449990643325713
Attribute17_A174,0.011956913285200085
Attribute19_A191,0.011929093640259543
Attribute17_A172,0.011012004064588353
Attribute4_A49,0.010652429704294777
Attribute4_A46,0.010257418136522296
Attribute3_A33,0.010244744256022167
Attribute6_A62,0.009745195717172144
Attribute15_A151,0.009439044973675237
Attribute7_A71,0.008425260527258682
Attribute9_A94,0.008311600777045408
Attribute1_A13,0.008134564860737487
Attribute10_A101,0.007514526888654378
Attribute6_A64,0.007262289704071
Attribute3_A31,0.007139777813953427
Attribute3_A30,0.006746246026698389
Attribute15_A153,0.006677128338861753
Attribute9_A91,0.0064390394549922216
Attribute20_A202,0.0061534468487023705
Attribute14_A142,0.005802436083109205
Attribute10_A103,0.0056314118765690355
Attribute10_A102,0.005427543403967076
Attribute20_A201,0.0048497523725826875
Attribute4_A45,0.004814218252057531
Attribute6_A63,0.004727075147203189
Attribute17_A171,0.002276306750595866
Attribute4_A410,0.0016942760052530508
Attribute4_A44,0.0016205818145068147
Attribute4_A48,0.000971191620265391
